study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	fastq_aspera
PRJEB29746	SAMEA104549458	ERS2160742	ERX2909072	ERR2905912	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905912/ERR2905912_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905912/ERR2905912_2.fastq.gz
PRJEB29746	SAMEA104549459	ERS2160743	ERX2909073	ERR2905913	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905913/ERR2905913_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905913/ERR2905913_2.fastq.gz
PRJEB29746	SAMEA104549460	ERS2160744	ERX2909074	ERR2905914	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905914/ERR2905914_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905914/ERR2905914_2.fastq.gz
PRJEB29746	SAMEA104549461	ERS2160745	ERX2909075	ERR2905915	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905915/ERR2905915_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905915/ERR2905915_2.fastq.gz
PRJEB29746	SAMEA104549462	ERS2160746	ERX2909076	ERR2905916	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905916/ERR2905916_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905916/ERR2905916_2.fastq.gz
PRJEB29746	SAMEA104549463	ERS2160747	ERX2909077	ERR2905917	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905917/ERR2905917_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905917/ERR2905917_2.fastq.gz
PRJEB29746	SAMEA104549464	ERS2160748	ERX2909078	ERR2905918	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905918/ERR2905918_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905918/ERR2905918_2.fastq.gz
PRJEB29746	SAMEA104549465	ERS2160749	ERX2909079	ERR2905919	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905919/ERR2905919_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905919/ERR2905919_2.fastq.gz
PRJEB29746	SAMEA104549466	ERS2160750	ERX2909080	ERR2905920	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905920/ERR2905920_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905920/ERR2905920_2.fastq.gz
PRJEB29746	SAMEA104549467	ERS2160751	ERX2909081	ERR2905921	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905921/ERR2905921_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905921/ERR2905921_2.fastq.gz
PRJEB29746	SAMEA104549469	ERS2160753	ERX2909083	ERR2905923	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905923/ERR2905923_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905923/ERR2905923_2.fastq.gz
PRJEB29746	SAMEA104549470	ERS2160754	ERX2909084	ERR2905924	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905924/ERR2905924_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905924/ERR2905924_2.fastq.gz
PRJEB29746	SAMEA104549471	ERS2160755	ERX2909085	ERR2905925	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905925/ERR2905925_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905925/ERR2905925_2.fastq.gz
PRJEB29746	SAMEA104549472	ERS2160756	ERX2909086	ERR2905926	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905926/ERR2905926_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905926/ERR2905926_2.fastq.gz
PRJEB29746	SAMEA104549473	ERS2160757	ERX2909087	ERR2905927	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905927/ERR2905927_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905927/ERR2905927_2.fastq.gz
PRJEB29746	SAMEA104549474	ERS2160758	ERX2909088	ERR2905928	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905928/ERR2905928_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905928/ERR2905928_2.fastq.gz
PRJEB29746	SAMEA104549475	ERS2160759	ERX2909089	ERR2905929	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905929/ERR2905929_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905929/ERR2905929_2.fastq.gz
PRJEB29746	SAMEA104549476	ERS2160760	ERX2909090	ERR2905930	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905930/ERR2905930_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905930/ERR2905930_2.fastq.gz
PRJEB29746	SAMEA104549477	ERS2160761	ERX2909091	ERR2905931	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905931/ERR2905931_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905931/ERR2905931_2.fastq.gz
PRJEB29746	SAMEA104549478	ERS2160762	ERX2909092	ERR2905932	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905932/ERR2905932_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905932/ERR2905932_2.fastq.gz
PRJEB29746	SAMEA104549479	ERS2160763	ERX2909093	ERR2905933	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905933/ERR2905933_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905933/ERR2905933_2.fastq.gz
